,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'C': 0.1, 'solver': 'newton-cg'}",0.7149722183393556,0.7745505495715164,0.6694343434343435,0.760510093244368,0.01504727924383764,0.004806420810223653,0.03138015635454075,0.004552477256520644
"{'C': 0.1, 'solver': 'lbfgs'}",0.7149722183393556,0.7745505495715164,0.6694343434343435,0.760510093244368,0.01504727924383764,0.004806420810223653,0.03138015635454075,0.004552477256520644
"{'C': 1, 'solver': 'newton-cg'}",0.7220533882035806,0.7849934514272954,0.6674545454545455,0.776652230952616,0.025079433916598046,0.008639569595752917,0.04888306167792955,0.0015910449853940615
"{'C': 1, 'solver': 'lbfgs'}",0.7220533882035806,0.7849934514272954,0.6674545454545455,0.776652230952616,0.025079433916598046,0.008639569595752917,0.04888306167792955,0.0015910449853940615
"{'C': 10, 'solver': 'newton-cg'}",0.7223165468107702,0.7842967634408838,0.6694747474747476,0.7751583461467929,0.019699585980602986,0.0090442163612181,0.04108002199763021,0.012614857585105697
"{'C': 10, 'solver': 'lbfgs'}",0.7223165468107702,0.7842967634408838,0.6694747474747476,0.7751583461467929,0.019699585980602986,0.0090442163612181,0.04108002199763021,0.012614857585105697
"{'C': 100, 'solver': 'newton-cg'}",0.7314650338963562,0.7913855540106569,0.6795151515151515,0.7834149162775608,0.02434823891081483,0.010379171939576697,0.04778456397872938,0.011114985399064518
"{'C': 100, 'solver': 'lbfgs'}",0.7314650338963562,0.7913855540106569,0.6795151515151515,0.7834149162775608,0.02434823891081483,0.010379171939576697,0.04778456397872938,0.011114985399064518
"{'C': 200, 'solver': 'newton-cg'}",0.7295262422643681,0.7898195105893777,0.6775151515151514,0.7815373330135846,0.023412224163951577,0.009527711847659779,0.046232295645986334,0.009706267727810367
"{'C': 200, 'solver': 'lbfgs'}",0.7299014767859442,0.790320182433396,0.6775151515151514,0.7822878020567365,0.023410721004605166,0.00958920368123127,0.046232295645986334,0.009884593593831998
"{'C': 500, 'solver': 'newton-cg'}",0.7282770639715441,0.7901676813394929,0.6735151515151514,0.7830389764279367,0.023488282016029267,0.008022827449691952,0.04920921024380598,0.008870664858861628
"{'C': 500, 'solver': 'lbfgs'}",0.7282770639715441,0.7901676813394929,0.6735151515151514,0.7830389764279367,0.023488282016029267,0.008022827449691952,0.04920921024380598,0.008870664858861628
"{'C': 1000, 'solver': 'newton-cg'}",0.7272774166355681,0.7898512375807534,0.6715151515151515,0.7830396817559848,0.02280011322657212,0.00789048839504635,0.04828671638121301,0.009544766846379648
"{'C': 1000, 'solver': 'lbfgs'}",0.7274653865603803,0.7900998700406594,0.6715151515151515,0.7834156216056088,0.02270489494628486,0.008063599137398654,0.04828671638121301,0.010246235371905825
"{'C': 5000, 'solver': 'newton-cg'}",0.7272777692995922,0.7898520467107446,0.6715151515151515,0.7830403870840328,0.023056792809642315,0.008823950860692955,0.04828671638121301,0.011101075757751551
"{'C': 5000, 'solver': 'lbfgs'}",0.7272777692995922,0.7898465312607571,0.6715151515151515,0.7830403870840328,0.0225083156498013,0.008115614827444051,0.04828671638121301,0.01090916378985433
"{'C': 120, 'solver': 'newton-cg'}",0.731840268417932,0.7918881689277696,0.6795151515151515,0.7841653853207127,0.024374929434409835,0.010147021808537129,0.04778456397872938,0.010359643235156184
"{'C': 120, 'solver': 'lbfgs'}",0.7314650338963562,0.7913908926399462,0.6795151515151515,0.7834149162775607,0.02487738262820606,0.011027010012256944,0.04778456397872938,0.011488731748646525
"{'C': 150, 'solver': 'newton-cg'}",0.7316526511571441,0.7916421813534508,0.6795151515151515,0.7837901507991367,0.02302321969644708,0.009743698076387093,0.045203590063592085,0.010316069679625879
"{'C': 150, 'solver': 'lbfgs'}",0.7314650338963562,0.7913881683834049,0.6795151515151515,0.7834149162775608,0.022727417550479734,0.00952041647310319,0.045203590063592085,0.010529521131799151
"{'C': 250, 'solver': 'newton-cg'}",0.7309014767859441,0.790636756547128,0.6795151515151516,0.7822878020567366,0.022760811007740803,0.009116543561066384,0.04520359006359208,0.009297371393067806
"{'C': 250, 'solver': 'lbfgs'}",0.7310890940467321,0.7908864192297779,0.6795151515151516,0.7826630365783126,0.022683655596717783,0.009047123580609162,0.04520359006359208,0.009330674461517911
"{'C': 300, 'solver': 'newton-cg'}",0.7300894467107562,0.7905633517441955,0.6775151515151516,0.7826637419063607,0.023080698388337505,0.009077258105542248,0.0466628884735813,0.00990265558508503
"{'C': 300, 'solver': 'lbfgs'}",0.7299014767859441,0.790314247552768,0.6775151515151516,0.7822878020567366,0.02317034721576212,0.008960603176291347,0.0466628884735813,0.009297371393067806
